Scuderia Ferrari,Maranello - ITA,Top Field,3,16,3.13,2.90
Mercedes AMG,Brackley - UK,Top Field,2,8,2.7,3.18
McLaren F1,Woking - UK,Mid-Top Field,4,8,1.56,2.91
Aston Martin Racing,Silverstone - UK,Mid Field,5,0,1.14,3.08
Williams Racing,Oxford - IK,Bottom Field,7,9,0.795,3.28
Haas ,Kannapolis - US,Bottom Field,10,0,0.710,4.22
Alfa Romeo,Hinwil - CH,Bottom Field,9,0,0.815,3.51
AlphaTauri,Faenza - ITA,Bottom Field,8,0,0.905,3.23
Alpine F1,Enstone - UK,Mid Field,6,2,1.08,3.19
Red Bull Racing,Milton Keynes - UK,Top Field,1,5,2.42,2.64
